Key Concept,Distractors
Components,"Container, Window, Panel, Frame, Canvas, Label, Button, Text field, Text area, Checkbox, Checkbox group, Radio button, Choice, List"
Container,"Panel, Window, Frame, Canvas, Components, Layout manager, setLayout(), setVisible()"
Window,"Frame, Dialog, Components, setLayout(), setVisible()"
Panel,"Container, Components, Frame, Dialog, Layout manager, setLayout(), setVisible()"
Frame,"Window, Container, Components, Title bar, Menu bars, setLayout(), setVisible()"
Canvas,"Component, Rectangular area, Drawing, Input events, setLayout(), setVisible()"
Component Class Methods,"add(Component c), setSize(int width, int height), setLayout(layout manager m), setVisible(boolean status)"
Functions,"Methods, Constructors, Event handlers, Paint methods"
Methods,"Functions, Constructors, Event handlers, Paint methods"
AWT Application,"Swing application, JavaFX application, Console application, GUI design principles"
Frame,"Window, Dialog, Panel, Container"
Button,"Checkbox, Radio button, Dropdown menu, Text field"
Label,"Text area, Text field, Tooltip, Image"
Text Field,"Text area, Label, Checkbox, Radio button"
Action Listener,"Item listener, Mouse listener, Key listener, Window listener"
Checkbox,"Radio button, Button, Dropdown menu, Text field"
Checkbox Group,"Radio button group, Button group, Dropdown menu group, Text field group"
Item Listener,"Action listener, Mouse listener, Key listener, Window listener"
Canvas,"Panel, Frame, Container, Applet"
Graphics,"Drawing, Paint, Shapes, Images"
Paint Method,"Draw method, Graphics method, Render method, Fill method"
Event Handling,"User inputs, Callbacks, Event-driven programming, GUI interactions"
Java.awt Package,"Swing package, JavaFX package, Java.awt.event package, Abstract Window Toolkit (AWT)"
java.awt.event package,"java.util package, java.lang package, java.awt package, java.io package"
Listener Interfaces,"Event classes, Event handling, Event-driven programming, Callback functions"
GUI Design Principles,"Usability, Accessibility, Consistency, Feedback"
Swing Application,"AWT application, JavaFX application, Console application, GUI design principles"
JavaFX Application,"AWT application, Swing application, Console application, GUI design principles"
Console Application,"AWT application, Swing application, JavaFX application, GUI design principles"
Window,"Frame, Dialog, Panel, Container"
Dialog,"Frame, Window, Panel, Container"
Panel,"Frame, Window, Dialog, Container"
Container,"Frame, Window, Dialog, Panel"
GUI Design Principles,"Usability, Accessibility, Consistency, Feedback"
Layouts,"UI elements, GUI, Layout Managers"
Flow Layout,"GridLayout, BorderLayout, CardLayout"
GridLayout,"FlowLayout, BorderLayout, CardLayout"
BorderLayout,"FlowLayout, GridLayout, CardLayout"
CardLayout,"FlowLayout, GridLayout, BorderLayout"
Layout Managers,"UI design, Components arrangement, GUI development"
Green computing,"Carbon footprint, Renewable energy, Energy efficiency, Sustainable technology"
Global warming,"Climate change, Greenhouse gases, Rising temperatures, Melting ice caps"
Eco-friendly,"Recycling, Sustainable living, Organic products, Zero-waste lifestyle"
"Think Globally, Act Locally","Environmental activism, Community engagement, Grassroots movements, Local initiatives"
Chief Information Officers (CIOs),"IT management, Technology leadership, Digital strategy, Business innovation"
Energy efficiency,"Power consumption, Energy conservation, Renewable resources, Green energy"
Datacenter,"Server farms, Cloud computing, IT infrastructure, Network management"
Environmentally friendly,"Biodegradable materials, Green materials, Eco-conscious products, Pollution prevention"
Green IT,"Sustainable technology, Environmental computing, Eco-friendly IT practices, Green data management"
"Reduce, Reuse, Recycle","Waste reduction, Circular economy, Resource conservation, Waste management"
Strategic green center initiative,"Sustainability program, Environmental policy, Green datacenter strategy, Eco-friendly IT framework"
Money,"Cost savings, Budget constraints, Financial management, Return on investment (ROI)"
Business adage,"Profit maximization, Economic efficiency, Financial success, Bottom line"
Green infrastructure,"Sustainable development, Environmental investments, Eco-friendly facilities, Green technology upgrades"
Up-front costs,"Initial investment, Capital expenditure, Implementation expenses, Startup expenses"
Meaningful changes,"Environmental impact, Positive outcomes, Sustainable solutions, Long-term benefits"
Components,"Elements, Parts, Ingredients, Constituents"
E-waste,"Paper waste, food waste, plastic waste, textile waste"
Toxic substances,"Air pollution, water pollution, soil contamination, radiation"
Lead,"Zinc, iron, copper, aluminum"
Mercury,"Silver, gold, platinum, palladium"
Cadmium,"Nickel, chromium, manganese, cobalt"
PCBs,"Pesticides, herbicides, fungicides, insecticides"
Recycling,"Composting, incineration, landfilling, upcycling"
Reuse,"Disposable, single-use, new purchase, discard"
"Cathode ray tube, solder","LED displays, LCD screens, plasma screens"
"Arsenic, older cathode ray tubes","Cathode ray tube TVs, cathode ray tube monitors, CRT displays"
"Antimony trioxide, flame retardant","Asbestos, fiberglass, fireproof paint"
"Polybrominated flame retardants, plastic","PVC, ABS plastic, polystyrene"
"Selenium, power supply rectifier","Diodes, capacitors, transformers"
"Cadmium, circuit boards, semiconductors","Silicon, transistors, integrated circuits"
"Chromium, corrosion protection","Galvanization, anodizing, rust prevention"
"Cobalt, steel, magnetism","Nickel, iron, stainless steel"
"Mercury, switches, housing","Lead, PCBs, electronic waste"
Power consumption,"Energy efficiency, renewable energy sources, carbon footprint"
"Fossil fuels, greenhouse gas emissions","Coal, natural gas, petroleum"
"Energy audit, energy-efficient PCs","Energy Star certification, power management software, energy-saving tips"
"Server virtualization, electricity costs","Cloud computing, server consolidation, data center optimization"
"High-density computing, power","Blade servers, grid computing, data center expansion"
"Carbon neutrality, solar cells","Renewable energy credits, net metering, off-grid systems"
"Wind turbines, electrical utility","Wind farms, turbine efficiency, grid integration"
"Cooling issues, creative strategies","Air conditioning, heat exchangers, liquid cooling"
"Hot air reuse, datacenter heat","Geothermal heating, thermal storage, waste heat utilization"
Cathode ray tube,"LED screens, LCD screens, plasma screens"
Solder,"Flux, welding, brazing"
Arsenic,"Lead, mercury, cadmium"
Antimony trioxide,"Phosphorus, boron trioxide, zinc oxide"
Flame retardant,"Halogenated flame retardants, phosphorus compounds, brominated flame retardants"
Polybrominated flame retardants,"Chlorinated flame retardants, phosphorus compounds, halogenated flame retardants"
Plastic casings,"Metal enclosures, aluminum casings, fiberglass"
Circuit boards,"Integrated circuits, microprocessors, transistors"
Power supply rectifier,"Diode, transformer, capacitor"
Cadmium,"Lead, mercury, arsenic"
Semiconductors,"Silicon, germanium, gallium arsenide"
Chromium,"Stainless steel, nickel, titanium"
Corrosion protection,"Rust prevention, anodizing, galvanization"
Cobalt,"Iron, nickel, manganese"
Magnetism,"Magnetic field, magnetic materials, electromagnet"
Mercury,"Lead, cadmium, arsenic"
Switches,"Relays, sensors, buttons"
Housing,"Enclosure, casing, chassis"
Power Consumption,"Energy efficiency, carbon footprint, electricity usage"
Datacenter,"Server farm, cloud computing, IT infrastructure"
Fossil fuels,"Coal, oil, natural gas"
Energy audit,"Efficiency assessment, energy management, conservation practices"
Virtualization,"Cloud computing, hypervisor, server consolidation"
Physical server,"Bare-metal server, dedicated server, hardware platform"
Electricity costs,"Utility bills, energy expenses, power expenditure"
Carbon footprint,"Greenhouse gas emissions, environmental impact, ecological footprint"
Power and cooling requirements,"Thermal management, HVAC systems, energy efficiency"
Solar cells,"Photovoltaic panels, renewable energy, solar power"
Wind turbines,"Wind energy, wind farms, renewable electricity"
Cooling strategies,"Heat dissipation, thermal management, cooling systems"
Heat,"Thermal energy, temperature rise, heat dissipation"
Datacenter,"Server farm, cloud computing, IT infrastructure"
Creative cooling strategies,"Heat management techniques, thermal dissipation methods, innovative cooling solutions"
E-waste,"Landfills, recycling, disposal, electronic devices"
European Union,"Waste management, regulations, directives, recycling efforts"
WEEE Directive,"Equipment manufacturers, end-of-life costs, competitive incentive"
United States,"Cathode ray tubes, circuit boards, air pollution, mandates"
Basel Convention,"Global agreement, e-waste shipment, international regulations"
Carbon footprint,"Greenhouse gases, emissions, measurement, organization"
Facilities,"Operations, transportation, travel, purchases"
Operations,"Facilities, transportation, travel, purchases"
Transportation,"Facilities, operations, travel, purchases"
Travel,"Facilities, operations, transportation, purchases"
Purchases,"Facilities, operations, transportation, travel"
Measuring,"Estimating, Assessing, Evaluating"
Carbon Footprint,"Energy Consumption, Environmental Impact"
Define,"Specify, Delimit, Outline"
Baseline,"Starting Point, Reference Year, Initial Measure"
Track,"Monitor, Record, Follow-up"
Analyze,"Examine, Scrutinize, Investigate"
Report,"Present, Communicate, Share"
Stakeholders,"CEO, Shareholders, Employees"
